                                    nunique     count          mean  \
Approximate_Sample_Size_Housing         NaN  252544.0  1.185744e+00   
Approximate_Sample_Size_Population      NaN  255948.0  1.788327e+00   

                                             std          min           max  
zcta                                         NaN          NaN           NaN  
state                                        NaN          NaN           NaN  
Year                                3.458347e+00       2011.0  2.022000e+03  
Total_Population                    1.438357e+04          0.0  1.340080e+05  
Total_Housing_Units                 5.767759e+03          0.0  4.873400e+04  
Median_Household_Income             1.543967e+08 -666666666.0  2.500010e+05  
Aggregate_Household_Income          5.234149e+08 -666666666.0  9.154292e+09  
Persons_Below_Poverty_Level         2.677180e+03          0.0  4.520000e+04  
Unweighted_Sample_Count_Population  9.926111e+02          0.0  9.681000e+03  
Unweighted_Sample_Count_Housing     3.985140e+02          0.0  4.658000e+03  
hh_income_Less_10000                4.664577e+02          0.0  8.597000e+03  
hh_income_10000_14999               2.993158e+02          0.0  4.796000e+03  
hh_income_15000_19999               2.797318e+02          0.0  3.472000e+03  
hh_income_20000_24999               2.774497e+02          0.0  3.946000e+03  
hh_income_25000_29999               2.644418e+02          0.0  2.955000e+03  
hh_income_30000_34999               2.641393e+02          0.0  2.716000e+03  
hh_income_35000_39999               2.433984e+02          0.0  2.765000e+03  
hh_income_40000_44999               2.426703e+02          0.0  2.414000e+03  
hh_income_45000_49999               2.160322e+02          0.0  2.107000e+03  
hh_income_50000_59999               4.105786e+02          0.0  3.956000e+03  
hh_income_60000_74999               5.226645e+02          0.0  4.920000e+03  
hh_income_75000_99999               6.735129e+02          0.0  6.892000e+03  
hh_income_100000_124999             5.025984e+02          0.0  5.787000e+03  
hh_income_125000_149999             3.517226e+02          0.0  4.987000e+03  
hh_income_150000_199999             4.324884e+02          0.0  7.612000e+03  
hh_income_200000_or_more            6.229927e+02          0.0  1.406900e+04  
Workers_16_and_over                 6.757323e+03          0.0  6.356300e+04  
Workers_Earning_1_to_9999           5.810084e+02          0.0  9.674000e+03  
Workers_Earning_10000_to_14999      5.253354e+02          0.0  1.010200e+04  
Workers_Earning_15000_to_24999      5.925130e+03          0.0  5.912500e+04  
Workers_Earning_25000_to_34999      5.053691e+03          0.0  5.206700e+04  
total_occ_housing_units             1.413085e+04          0.0  1.319460e+05  
owner_occ_housing_units             9.094979e+03          0.0  1.008950e+05  
renter_occ_housing_units            6.259231e+03          0.0  9.339500e+04  
rent_p25                            2.619192e+08 -666666666.0  3.501000e+03  
rent_median                         2.568777e+08 -666666666.0  3.501000e+03  
rent_p75                            2.560794e+08 -666666666.0  3.501000e+03  
rent_aggregate                      1.905375e+08 -666666666.0  6.692070e+07  
rent_share_hh_income_Total          2.448829e+03          0.0  3.427500e+04  
rent_share_hh_income_10pct          1.016371e+02          0.0  3.757000e+03  
rent_share_hh_income_10_15pct       1.991753e+02          0.0  3.852000e+03  
rent_share_hh_income_15_20pct       2.905680e+02          0.0  4.393000e+03  
rent_share_hh_income_20_25pct       2.990737e+02          0.0  5.120000e+03  
rent_share_hh_income_20_30pct       2.745092e+02          0.0  4.122000e+03  
rent_share_hh_income_30_35pct       2.222093e+02          0.0  3.856000e+03  
rent_share_hh_income_35_40pct       1.653619e+02          0.0  2.379000e+03  
rent_share_hh_income_40_45pct       2.265312e+02          0.0  3.087000e+03  
rent_share_hh_income_45_50pct       6.681840e+02          0.0  1.141900e+04  
rent_share_hh_income_50Pluspct      1.795465e+02          0.0  5.135000e+03  
Mean_Household_Income               4.788666e+06 -666666666.0  1.090394e+09  
Low_Income_Workers                  6.757154e+03          0.0  6.356300e+04  
Approximate_Sample_Size_Housing     7.813390e+00          0.0  1.200000e+03  
Approximate_Sample_Size_Population  1.663485e+01          0.0  2.700000e+03  
